QAQC_Block_ID,samples,lat_min,lat_max,lon_min,lon_max
1,114,45.0760812,63.9920017,-140.9832813,-62.4057878
2,114,45.1207814,63.9939095,-140.9582754,-62.3434829
3,111,45.1429336,63.7663046,-140.9800544,-62.6345573
4,114,45.3242751,63.891029,-140.9924696,-63.1896373
5,114,45.2888245,63.9203083,-140.9544608,-63.3223978
6,114,45.2848735,63.9045419,-140.9270035,-63.1404888
7,114,45.3627908,63.8525874,-140.8692889,-63.173378
8,114,45.3653725,63.8412261,-140.6162204,-63.1714903
9,114,45.3821939,63.7033626,-140.8157074,-63.4540331
10,114,45.4342588,63.2515869,-140.9647744,-63.5623686
11,114,45.5932084,63.7507311,-140.6834924,-62.6622203
12,111,45.4509797,63.4324063,-140.7028247,-62.4941526
13,114,45.4725223,63.6662571,-140.4819407,-62.7659335
14,114,45.4713661,63.6262308,-140.4452914,-63.5280774
15,114,45.4288547,63.8607173,-140.4721299,-63.7595701
16,104,45.4445707,63.224402,-140.2295745,-62.7802165
17,106,45.4115895,63.4622986,-140.9801559,-62.6737629
18,114,45.2117169,63.5418374,-140.8635748,-62.9266472
19,114,45.3131313,63.7391991,-140.3121915,-63.5062228
20,114,45.2604659,63.7874663,-140.9791446,-62.9433366
21,114,45.2022434,63.5822597,-140.7703706,-62.826519
22,103,45.2576461,63.8076581,-140.7062764,-63.0158473
23,114,45.3445159,63.8362494,-140.4132981,-63.0389131
24,114,45.3200661,63.317364,-140.5889025,-63.061852
25,114,45.8360499,63.4236538,-140.5009704,-62.8366412
26,114,45.6914386,63.5806993,-140.3167229,-63.3577578
27,112,45.6153195,63.2249041,-140.4649548,-62.8645428
28,114,45.2184503,63.9785805,-139.8365645,-62.9200702
29,114,45.6393873,63.9781811,-139.9695683,-62.9286592
30,114,45.7771843,63.8999239,-139.803541,-62.8825072
31,113,45.6394864,63.9838794,-138.9967395,-63.3938332
32,114,45.7820475,63.9918461,-139.1400656,-62.9743646
33,114,45.8407054,63.8459261,-139.2586329,-63.1593988
34,106,45.7214056,63.646111,-138.9982071,-62.9735344
35,111,45.2052076,63.9931264,-139.9723091,-62.9528462
36,106,45.5191374,63.9099658,-139.874872,-63.8030238
37,114,45.5429393,63.6294272,-139.3968832,-63.1446275
38,114,45.483007,63.4945779,-139.9038694,-63.54822
39,114,45.4766546,63.8855189,-139.5143836,-63.5950615
40,114,45.6073913,63.7436128,-139.9809689,-63.652454
41,114,45.5881518,63.4450665,-140.0006597,-63.7823218
42,114,45.6102992,63.9220472,-139.9854336,-63.8102957
43,114,45.6714338,63.7997338,-140.0055801,-63.3911776
44,114,45.7017077,63.5115604,-139.2314293,-63.5377179
45,99,45.7530645,63.2527163,-139.9948092,-63.5328021
46,95,54.5028953,63.9254599,-140.0142395,-64.0070734
47,95,54.0133093,63.8147571,-139.9936775,-64.0073654
48,95,54.5455663,63.784479,-139.9730409,-64.0022443
49,95,54.3659779,63.7379875,-139.5906564,-64.0084951
50,95,54.2576023,63.5166782,-139.7663241,-64.0019024
51,76,58.8616921,63.2376789,-139.9694027,-64.0546127
52,75,58.9166415,63.340927,-139.5091734,-64.407772
53,70,58.9532175,63.2022962,-139.8450366,-64.1242867
54,64,59.8178166,63.1315577,-139.3810746,-64.1670196
55,76,59.7710312,63.9919561,-140.8946559,-64.1514429
56,76,59.8130102,63.2581149,-140.8669296,-64.5214541
57,76,59.672037,63.4544202,-140.7246779,-64.3790151
58,76,59.7426768,63.4795811,-140.3545598,-64.4102988
59,76,59.5369639,63.3654169,-140.2688591,-64.223397
60,72,59.3007804,63.6826111,-140.1579513,-64.1830567
61,50,59.4789415,63.950917,-140.9432576,-64.6043676
62,57,59.5910375,63.9855286,-140.9942116,-64.0118007
63,57,59.0080524,63.715516,-140.944062,-64.0016795
64,57,59.2716485,63.8382309,-140.4468481,-64.0370416
65,56,59.3319003,63.9955846,-140.7585108,-64.0356184
66,57,59.0161028,63.9038588,-140.9899521,-64.1355169
67,57,59.0019998,63.8826635,-140.979093,-64.2344115
68,57,59.1125204,63.4713733,-140.9701678,-64.1120219
69,57,59.0853987,63.6004506,-140.4773853,-64.0062917
70,57,59.5206875,63.3412994,-140.8116831,-64.0491343
71,57,59.0020442,63.8928706,-140.7407187,-64.0085724
72,42,59.3629797,63.9077305,-140.6776038,-64.0098965
73,57,60.0295307,63.5704664,-140.8219843,-64.2876239
74,57,60.0018312,63.9229116,-140.944948,-64.4240606
75,57,60.0459827,63.9925494,-140.6185996,-64.5340538
76,53,60.0084342,63.4564224,-140.5201933,-64.5884008
77,38,62.3269825,63.7236143,-140.6385077,-139.2624677
78,38,62.0957798,63.6627643,-140.3952616,-139.8005803
79,24,62.0015444,63.8737064,-140.1033839,-138.4376439
80,19,63.0256978,63.0965779,-138.4186519,-138.0054781
81,19,63.0054799,63.3659363,-139.9443953,-138.1285372
82,19,63.004364699999996,63.9304841,-139.9911904,-139.3784043
83,18,63.0002464,63.2393252,-139.9831757,-139.4547905
